9606.ENSP00000005340	9606.ENSP00000222330
9606.ENSP00000441980	9606.ENSP00000342793
9606.ENSP00000220849	9606.ENSP00000400467
9606.ENSP00000339844	9606.ENSP00000317376
9606.ENSP00000356581	9606.ENSP00000368752
9606.ENSP00000342676	9606.ENSP00000263629
9606.ENSP00000215375	9606.ENSP00000327268
9606.ENSP00000371471	9606.ENSP00000471896
9606.ENSP00000223073	9606.ENSP00000385410
9606.ENSP00000318158	9606.ENSP00000376732
9606.ENSP00000260643	9606.ENSP00000340900
9606.ENSP00000315644	9606.ENSP00000362481
9606.ENSP00000353508	9606.ENSP00000310649
9606.ENSP00000346437	9606.ENSP00000379098
9606.ENSP00000342374	9606.ENSP00000415078
9606.ENSP00000244230	9606.ENSP00000260563
9606.ENSP00000257829	9606.ENSP00000238146
9606.ENSP00000236273	9606.ENSP00000266735
9606.ENSP00000401980	9606.ENSP00000359612
9606.ENSP00000364813	9606.ENSP00000312981
9606.ENSP00000264883	9606.ENSP00000285968
9606.ENSP00000322570	9606.ENSP00000360623
9606.ENSP00000413908	9606.ENSP00000381736
9606.ENSP00000389103	9606.ENSP00000361465
9606.ENSP00000361310	9606.ENSP00000364270
9606.ENSP00000360918	9606.ENSP00000310721
9606.ENSP00000317334	9606.ENSP00000331901
9606.ENSP00000264335	9606.ENSP00000264144
9606.ENSP00000376272	9606.ENSP00000377536
9606.ENSP00000366307	9606.ENSP00000181383
9606.ENSP00000481697	9606.ENSP00000348849
9606.ENSP00000338862	9606.ENSP00000219240
9606.ENSP00000344468	9606.ENSP00000370542
9606.ENSP00000217515	9606.ENSP00000478877
9606.ENSP00000320291	9606.ENSP00000369860
9606.ENSP00000265038	9606.ENSP00000328901
9606.ENSP00000340823	9606.ENSP00000480158
9606.ENSP00000302478	9606.ENSP00000301788
9606.ENSP00000418082	9606.ENSP00000274242
9606.ENSP00000314420	9606.ENSP00000386894
9606.ENSP00000300651	9606.ENSP00000251871
9606.ENSP00000363286	9606.ENSP00000234296
9606.ENSP00000380271	9606.ENSP00000370078
9606.ENSP00000401980	9606.ENSP00000374552
9606.ENSP00000483814	9606.ENSP00000417378
9606.ENSP00000363642	9606.ENSP00000346725
9606.ENSP00000336752	9606.ENSP00000264883
9606.ENSP00000397133	9606.ENSP00000287936
9606.ENSP00000226730	9606.ENSP00000329418
9606.ENSP00000379098	9606.ENSP00000358994
9606.ENSP00000468032	9606.ENSP00000248244
9606.ENSP00000264538	9606.ENSP00000320359
9606.ENSP00000406012	9606.ENSP00000398211
9606.ENSP00000264020	9606.ENSP00000264538
9606.ENSP00000351646	9606.ENSP00000222005
9606.ENSP00000262394	9606.ENSP00000478121
9606.ENSP00000308179	9606.ENSP00000411010
9606.ENSP00000353654	9606.ENSP00000351273
9606.ENSP00000262189	9606.ENSP00000362306
9606.ENSP00000360850	9606.ENSP00000318158
9606.ENSP00000289081	9606.ENSP00000466121
9606.ENSP00000377257	9606.ENSP00000321343
9606.ENSP00000308533	9606.ENSP00000360483
9606.ENSP00000354813	9606.ENSP00000259037
9606.ENSP00000442336	9606.ENSP00000263681
9606.ENSP00000340271	9606.ENSP00000264010
9606.ENSP00000410339	9606.ENSP00000362268
9606.ENSP00000362018	9606.ENSP00000357308
9606.ENSP00000363308	9606.ENSP00000475027
9606.ENSP00000308275	9606.ENSP00000288937
9606.ENSP00000467262	9606.ENSP00000215565
9606.ENSP00000377007	9606.ENSP00000283006
9606.ENSP00000404190	9606.ENSP00000353770
9606.ENSP00000370288	9606.ENSP00000373509
9606.ENSP00000325690	9606.ENSP00000305422
9606.ENSP00000312311	9606.ENSP00000424328
9606.ENSP00000343405	9606.ENSP00000340900
9606.ENSP00000478303	9606.ENSP00000265963
9606.ENSP00000355890	9606.ENSP00000296577
9606.ENSP00000378402	9606.ENSP00000481842
9606.ENSP00000243253	9606.ENSP00000454746
9606.ENSP00000480828	9606.ENSP00000261507
9606.ENSP00000311360	9606.ENSP00000349823
9606.ENSP00000352271	9606.ENSP00000347232
9606.ENSP00000470560	9606.ENSP00000308179
9606.ENSP00000347942	9606.ENSP00000313423
9606.ENSP00000232607	9606.ENSP00000307674
9606.ENSP00000228843	9606.ENSP00000480186
9606.ENSP00000263780	9606.ENSP00000323580
9606.ENSP00000225719	9606.ENSP00000256637
9606.ENSP00000244241	9606.ENSP00000320936
9606.ENSP00000354040	9606.ENSP00000309830
9606.ENSP00000278572	9606.ENSP00000253108
9606.ENSP00000259239	9606.ENSP00000377944
9606.ENSP00000325612	9606.ENSP00000293777
9606.ENSP00000315017	9606.ENSP00000229238
9606.ENSP00000216274	9606.ENSP00000360215
9606.ENSP00000335153	9606.ENSP00000318687
9606.ENSP00000247153	9606.ENSP00000274487
9606.ENSP00000346037	9606.ENSP00000307889
9606.ENSP00000352021	9606.ENSP00000402338
9606.ENSP00000335153	9606.ENSP00000334061
9606.ENSP00000251496	9606.ENSP00000412292
9606.ENSP00000356811	9606.ENSP00000278572
9606.ENSP00000266058	9606.ENSP00000256925
9606.ENSP00000298283	9606.ENSP00000339095
9606.ENSP00000384792	9606.ENSP00000371308
9606.ENSP00000352271	9606.ENSP00000480186
9606.ENSP00000325002	9606.ENSP00000434442
9606.ENSP00000360025	9606.ENSP00000418960
9606.ENSP00000244763	9606.ENSP00000216037
9606.ENSP00000411822	9606.ENSP00000362110
9606.ENSP00000367721	9606.ENSP00000358716
9606.ENSP00000367024	9606.ENSP00000385903
9606.ENSP00000245539	9606.ENSP00000357823
9606.ENSP00000236040	9606.ENSP00000297268
9606.ENSP00000262584	9606.ENSP00000305230
9606.ENSP00000362144	9606.ENSP00000351132
9606.ENSP00000384408	9606.ENSP00000380258
9606.ENSP00000478783	9606.ENSP00000387361
9606.ENSP00000384302	9606.ENSP00000395772
9606.ENSP00000379866	9606.ENSP00000401749
9606.ENSP00000470972	9606.ENSP00000377640
9606.ENSP00000357459	9606.ENSP00000380073
9606.ENSP00000360268	9606.ENSP00000365773
9606.ENSP00000395535	9606.ENSP00000216200
9606.ENSP00000343867	9606.ENSP00000369682
9606.ENSP00000305651	9606.ENSP00000219235
9606.ENSP00000411355	9606.ENSP00000303507
9606.ENSP00000414321	9606.ENSP00000388337
9606.ENSP00000385410	9606.ENSP00000308179
9606.ENSP00000435506	9606.ENSP00000308583
9606.ENSP00000371858	9606.ENSP00000455106
9606.ENSP00000320566	9606.ENSP00000361363
9606.ENSP00000473391	9606.ENSP00000363787
9606.ENSP00000366828	9606.ENSP00000263956
9606.ENSP00000322180	9606.ENSP00000350491
9606.ENSP00000216297	9606.ENSP00000480158
9606.ENSP00000332887	9606.ENSP00000184266
9606.ENSP00000477760	9606.ENSP00000269397
9606.ENSP00000253255	9606.ENSP00000378326
9606.ENSP00000352522	9606.ENSP00000358777
9606.ENSP00000323275	9606.ENSP00000436975
9606.ENSP00000227163	9606.ENSP00000265354
9606.ENSP00000482396	9606.ENSP00000331901
9606.ENSP00000338157	9606.ENSP00000360973
9606.ENSP00000302665	9606.ENSP00000333157
9606.ENSP00000311827	9606.ENSP00000307684
9606.ENSP00000351141	9606.ENSP00000324124
9606.ENSP00000349543	9606.ENSP00000390722
9606.ENSP00000401566	9606.ENSP00000478533
9606.ENSP00000261407	9606.ENSP00000273371
9606.ENSP00000314193	9606.ENSP00000311135
9606.ENSP00000276062	9606.ENSP00000354728
9606.ENSP00000250896	9606.ENSP00000425561
9606.ENSP00000431885	9606.ENSP00000470788
9606.ENSP00000378845	9606.ENSP00000271450
9606.ENSP00000376272	9606.ENSP00000285398
9606.ENSP00000219252	9606.ENSP00000221859
9606.ENSP00000357907	9606.ENSP00000268711
9606.ENSP00000483484	9606.ENSP00000259469
9606.ENSP00000364270	9606.ENSP00000374501
9606.ENSP00000348965	9606.ENSP00000352572
9606.ENSP00000478501	9606.ENSP00000256442
9606.ENSP00000420914	9606.ENSP00000236850
9606.ENSP00000431926	9606.ENSP00000355865
9606.ENSP00000278483	9606.ENSP00000471191
9606.ENSP00000360431	9606.ENSP00000466363
9606.ENSP00000397441	9606.ENSP00000305459
9606.ENSP00000439856	9606.ENSP00000221494
9606.ENSP00000357005	9606.ENSP00000281537
9606.ENSP00000404092	9606.ENSP00000354957
9606.ENSP00000472998	9606.ENSP00000300291
9606.ENSP00000368100	9606.ENSP00000382628
9606.ENSP00000257555	9606.ENSP00000421544
